code,slug,compound,beds,ical_url,blocked_ranges
cl11-ch9b-02,cl11-ch9b-02,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/cl11-ch9b-02.ics,1
CL2-CH8-01,CL2-CH8-01,Foukabay,3 + nany,https://mohamedmaged3002-droid.github.io/soul-ical/CL2-CH8-01.ics,4
CL3-26-g01,CL3-26-g01,Foukabay,3 bed + nany,https://mohamedmaged3002-droid.github.io/soul-ical/CL3-26-g01.ics,4
CL3-27-g01,CL3-27-g01,Foukabay,3 bed + nany,https://mohamedmaged3002-droid.github.io/soul-ical/CL3-27-g01.ics,4
Cl3-TW4-AX,Cl3-TW4-AX,Foukabay,2Bed 1st floor + garden,https://mohamedmaged3002-droid.github.io/soul-ical/Cl3-TW4-AX.ics,3
CL4-16-02,CL4-16-02,Foukabay,3+1,https://mohamedmaged3002-droid.github.io/soul-ical/CL4-16-02.ics,4
CL4-16-03,CL4-16-03,Foukabay,3bed,https://mohamedmaged3002-droid.github.io/soul-ical/CL4-16-03.ics,4
CL4-19-02,CL4-19-02,Foukabay,3+nany,https://mohamedmaged3002-droid.github.io/soul-ical/CL4-19-02.ics,2
CL4-19-G01,CL4-19-G01,Foukabay,3+1+private pool,https://mohamedmaged3002-droid.github.io/soul-ical/CL4-19-G01.ics,4
CL4-20-G01,CL4-20-G01,Foukabay,3Bed,https://mohamedmaged3002-droid.github.io/soul-ical/CL4-20-G01.ics,2
cl4-ch22-03,cl4-ch22-03,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/cl4-ch22-03.ics,1
CL4-CH29-02,CL4-CH29-02,Foukabay,3 + nany,https://mohamedmaged3002-droid.github.io/soul-ical/CL4-CH29-02.ics,1
cl4-ch31-03,cl4-ch31-03,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/cl4-ch31-03.ics,1
cl4-ch33-03,cl4-ch33-03,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/cl4-ch33-03.ics,1
CL4-CH34-G01,CL4-CH34-G01,Foukabay,ground,https://mohamedmaged3002-droid.github.io/soul-ical/CL4-CH34-G01.ics,2
CL6-TW7A-F,CL6-TW7A-F,Foukabay,3Bed 1st floor + garden,https://mohamedmaged3002-droid.github.io/soul-ical/CL6-TW7A-F.ics,1
CL7-CH18-01,CL7-CH18-01,Foukabay,3 bed + nany,https://mohamedmaged3002-droid.github.io/soul-ical/CL7-CH18-01.ics,0
CL7-CH18-02,CL7-CH18-02,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/CL7-CH18-02.ics,4
CL7-CH3-01,CL7-CH3-01,Foukabay,3 bed + nany,https://mohamedmaged3002-droid.github.io/soul-ical/CL7-CH3-01.ics,1
CL8-V11,CL8-V11,Foukabay,4 bed stand alone + nany,https://mohamedmaged3002-droid.github.io/soul-ical/CL8-V11.ics,4
CL8-V8,CL8-V8,Foukabay,4 bed stand alone + nany,https://mohamedmaged3002-droid.github.io/soul-ical/CL8-V8.ics,7
Cl9-ch24-02,Cl9-ch24-02,Foukabay,3 bed,https://mohamedmaged3002-droid.github.io/soul-ical/Cl9-ch24-02.ics,0
F1-V20,F1-V20,Foukabay,4 bed stand alone + nany,https://mohamedmaged3002-droid.github.io/soul-ical/F1-V20.ics,3
R16-3,R16-3,Gaia,2 BEDROOM,https://mohamedmaged3002-droid.github.io/soul-ical/R16-3.ics,0
SA-1B-05,SA-1B-05,Foukabay,3bed ground,https://mohamedmaged3002-droid.github.io/soul-ical/SA-1B-05.ics,2
